Name_of_the_xyz_file,emission_energy_in_ev,emission_energy_in_nm,osc_str,size,shape,dopant,percent
1.5nm-square,0.1804,6873.68,0.0006,1.5nm,square,pristine,0
1.5nm-square-B-5.0,0.2344,5289.57,0.007,1.5nm,square,B,5
1.5nm-square-BN-1.5,0.2035,6093.04,0.1134,1.5nm,square,BN,1.5
1.5nm-square-BN-3.0,0.7697,1610.88,0.5382,1.5nm,square,BN,3
1.5nm-square-BN-7.0,0.2568,4828.05,0.1517,1.5nm,square,BN,7
1.5nm-square-BO-7.0,0.1829,6777.38,0.014,1.5nm,square,BO,7
1.5nm-square-BP-1.5,0.2297,5397.68,0.1229,1.5nm,square,BP,1.5
1.5nm-square-BP-3.0,0.8552,1449.81,0.4726,1.5nm,square,BP,3
1.5nm-square-BP-5.0,0.3172,3908.86,0.056,1.5nm,square,BP,5
1.5nm-square-BS-3.0,0.4591,2700.75,0.1642,1.5nm,square,BS,3
1.5nm-square-BS-5.0,0.3214,3857.05,0.1005,1.5nm,square,BS,5
1.5nm-square-BS-7.0,0.3405,3641,0.1087,1.5nm,square,BS,7
1.5nm-square-N-1.5,0.386,3211.64,0.1964,1.5nm,square,N,1.5
1.5nm-square-N-3.0,1.115,1111.98,0.3793,1.5nm,square,N,3
1.5nm-square-N-5.0,0.2402,5160.95,0.0159,1.5nm,square,N,5
1.5nm-square-NO-3.0,0.3231,3837.33,0.002,1.5nm,square,NO,3
1.5nm-square-NP-1.5,0.3744,3311.89,0.1978,1.5nm,square,NP,1.5
1.5nm-square-NP-5.0,0.1519,8163.07,0.0225,1.5nm,square,NP,5
1.5nm-square-O-3.0,0.2526,4907.6,0.0926,1.5nm,square,O,3
1.5nm-square-O-7.0,0.3274,3787.13,0.0309,1.5nm,square,O,7
1.5nm-square-OP-1.5,0.2255,5498.19,0.2612,1.5nm,square,OP,1.5
1.5nm-square-P-1.5,0.4498,2756.27,0.4646,1.5nm,square,P,1.5
1.5nm-square-S-1.5,0.1924,6443.64,0,1.5nm,square,S,1.5
1.5nm-square-S-5.0,0.2748,4511.77,0.031,1.5nm,square,S,5
1.5nm-square-S-7.0,0.3205,3868.58,0.1213,1.5nm,square,S,7
1.5nm-square-SP-1.5,0.2181,5684.53,0.2524,1.5nm,square,SP,1.5
1nm-square,0.3637,3409.25,0.2714,1nm,square,pristine,0
1nm-square-B-1.5,0.9935,1248,0.1449,1nm,square,B,1.5
1nm-square-B-5.0,1.4777,839.05,1.2744,1nm,square,B,5
1nm-square-BN-1.5,0.2218,5591.17,0.0261,1nm,square,BN,1.5
